rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
42,6215071,La Casa de la Ciencia de Sevilla,Speciality Museums,,4.2,204,TRUE,,,"Museum of science and planetarium, unique in Seville, in a 1929 building of great architectural wealth. Permanent and temporary exhibitions to learn didactically and interactively about science and…",https://www.tripadvisor.com/Attraction_Review-g187443-d6215071-Reviews-La_Casa_de_la_Ciencia_de_Sevilla-Seville_Province_of_Seville_Andalucia.html
43,19860410,Terraza Atalaya Torre Sevilla,Observation Decks & Towers,,4.7,117,FALSE,,Admission Tickets Available,"At the Eurostars Torre Sevilla we invite you to discover the city from the sky, knowing it as you have never done it before: at an altitude of 180 meters. From this spectacular corner you will discover…",https://www.tripadvisor.com/Attraction_Review-g187443-d19860410-Reviews-Terraza_Atalaya_Torre_Sevilla-Seville_Province_of_Seville_Andalucia.html
44,12100800,Plaza Del Cabildo,Points of Interest & Landmarks,,4.2,97,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d12100800-Reviews-Plaza_Del_Cabildo-Seville_Province_of_Seville_Andalucia.html
45,1473163,"Museum of Popular Arts And Traditions, Sevilla",Art Museums,,4,272,FALSE,,,"Housed in one of the very fine surviving Mudejar pavilions from the 1929 Spanish-American Fair in Maria Luisa Park, this is more than the extensive collection of flamboyant flamenco frocks you might…",https://www.tripadvisor.com/Attraction_Review-g187443-d1473163-Reviews-Museum_of_Popular_Arts_And_Traditions_Sevilla-Seville_Province_of_Seville_Andaluc.html
46,6727316,Casa de Salinas,Points of Interest & Landmarks,,4.5,139,FALSE,,,"XVI century palace still inhabited by his actual owners. Two courtyards richly decorated with XVI century tiles, Carrara marble columns, rich ""plateresco"" stucco work, sumptuous wood ceilings, Decorating…",https://www.tripadvisor.com/Attraction_Review-g187443-d6727316-Reviews-Casa_de_Salinas-Seville_Province_of_Seville_Andalucia.html
47,644868,Plaza Nueva,Points of Interest & Landmarks • Monuments & Statues,Casco Antiguo,4,670,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d644868-Reviews-Plaza_Nueva-Seville_Province_of_Seville_Andalucia.html
48,8317728,Convento de Santa Ines,Churches & Cathedrals,,4.4,66,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d8317728-Reviews-Convento_de_Santa_Ines-Seville_Province_of_Seville_Andalucia.html
49,3321717,Capilla de los Marineros,Churches & Cathedrals,,4.4,252,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d3321717-Reviews-Capilla_de_los_Marineros-Seville_Province_of_Seville_Andalucia.html
50,240279,Real Parroquia De Santa María Magdalena,Historic Sites • Religious Sites,,4.4,317,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d240279-Reviews-Real_Parroquia_De_Santa_Maria_Magdalena-Seville_Province_of_Seville_Andalucia.html
51,2175848,Antiquarium de Sevilla,Speciality Museums,Casco Antiguo,3.9,251,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d2175848-Reviews-Antiquarium_de_Sevilla-Seville_Province_of_Seville_Andalucia.html
52,19095001,Lagoh Sevilla,Shopping Malls,,3.5,100,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d19095001-Reviews-Lagoh_Sevilla-Seville_Province_of_Seville_Andalucia.html
53,2355500,Capilla de San José,Religious Sites,,4.5,316,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d2355500-Reviews-Capilla_de_San_Jose-Seville_Province_of_Seville_Andalucia.html
