location_id,name,rating,review_count,cuisine,price_range,url
804191,Restaurante Spicca,3.8,156,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d804191-Reviews-Restaurante_Spicca-Barcelona_Catalonia.html
804197,Da Paolo,3.5,115,"Italian, Pizza",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d804197-Reviews-Da_Paolo-Barcelona_Catalonia.html
805141,Restaurante Panchito,3.1,197,"Mexican, South American",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d805141-Reviews-Restaurante_Panchito-Barcelona_Catalonia.html
805530,Matsuri Sushi Bar,4.3,884,"Japanese, Sushi",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d805530-Reviews-Matsuri_Sushi_Bar-Barcelona_Catalonia.html
805803,Centfocs,3.7,621,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d805803-Reviews-Centfocs-Barcelona_Catalonia.html
806146,Restaurante Cal Boter,4.2,579,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d806146-Reviews-Restaurante_Cal_Boter-Barcelona_Catalonia.html
806360,La Tagliatella C Josep Tarradellas Barcelona,3.7,1300,"Italian, Pizza",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d806360-Reviews-La_Tagliatella_C_Josep_Tarradellas_Barcelona-Barcelona_Catalonia.html
806695,Morelia restaurant,4.2,559,"Italian, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d806695-Reviews-Morelia_restaurant-Barcelona_Catalonia.html
806765,Bar Raim 1886,4.5,58,"Bars & Pubs, Caribbean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d806765-Reviews-Bar_Raim_1886-Barcelona_Catalonia.html
808696,Bella Napoli di Raffaele,4.1,1189,"Italian, Pizza",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d808696-Reviews-Bella_Napoli_di_Raffaele-Barcelona_Catalonia.html
809469,Flora Restaurant,3.1,8,"International, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d809469-Reviews-Flora_Restaurant-Barcelona_Catalonia.html
